epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
70,5280.3,0.89109,0.64058,1.09188,0.82375,0.69483,0.73219,0.41847,1.55393,0.78538,1.51755,0.0241449,0.00804829,0.0241449,0.00804829,0.0241449,0.00804829,0.0241449,0.00804829
71,5354.96,0.89151,0.63898,1.09056,0.8714,0.70508,0.75637,0.43905,1.46588,0.74732,1.48219,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
72,5429.89,0.87232,0.63335,1.08291,0.84656,0.70471,0.74327,0.42261,1.55945,0.7913,1.52221,0.0239751,0.00799171,0.0239751,0.00799171,0.0239751,0.00799171,0.0239751,0.00799171
73,5504.29,0.87855,0.62914,1.0846,0.84916,0.6886,0.73356,0.39669,1.61645,0.80822,1.58548,0.0238903,0.00796343,0.0238903,0.00796343,0.0238903,0.00796343,0.0238903,0.00796343
74,5578.53,0.87443,0.62741,1.09045,0.84518,0.70549,0.74002,0.41841,1.56707,0.80815,1.52166,0.0238054,0.00793514,0.0238054,0.00793514,0.0238054,0.00793514,0.0238054,0.00793514
75,5652.92,0.88187,0.63061,1.09125,0.88505,0.7182,0.7658,0.43667,1.52025,0.7485,1.47683,0.0237206,0.00790686,0.0237206,0.00790686,0.0237206,0.00790686,0.0237206,0.00790686
76,5727.21,0.8583,0.61507,1.08031,0.87375,0.71614,0.77587,0.45286,1.43787,0.74058,1.42107,0.0236357,0.00787857,0.0236357,0.00787857,0.0236357,0.00787857,0.0236357,0.00787857
77,5802.08,0.87087,0.62643,1.08353,0.8977,0.70834,0.77027,0.45292,1.45807,0.72289,1.43545,0.0235509,0.00785029,0.0235509,0.00785029,0.0235509,0.00785029,0.0235509,0.00785029
78,5876.83,0.86388,0.61532,1.07541,0.8927,0.68755,0.75346,0.43232,1.53622,0.75996,1.4992,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
79,5951.08,0.86354,0.61817,1.07835,0.83728,0.72649,0.77472,0.44914,1.51334,0.74679,1.49996,0.0233811,0.00779371,0.0233811,0.00779371,0.0233811,0.00779371,0.0233811,0.00779371
80,6025.64,0.85869,0.61094,1.07504,0.86041,0.71648,0.76527,0.44038,1.4744,0.74734,1.45426,0.0232963,0.00776543,0.0232963,0.00776543,0.0232963,0.00776543,0.0232963,0.00776543
81,6100.14,0.85799,0.60841,1.07267,0.8803,0.69299,0.75806,0.4361,1.52754,0.76561,1.49821,0.0232114,0.00773714,0.0232114,0.00773714,0.0232114,0.00773714,0.0232114,0.00773714
82,6174.68,0.85333,0.60551,1.06943,0.82536,0.71131,0.75134,0.42217,1.52222,0.77889,1.49122,0.0231266,0.00770886,0.0231266,0.00770886,0.0231266,0.00770886,0.0231266,0.00770886
83,6249.12,0.84739,0.60044,1.06956,0.859,0.73232,0.77785,0.43973,1.51281,0.75161,1.48126,0.0230417,0.00768057,0.0230417,0.00768057,0.0230417,0.00768057,0.0230417,0.00768057
84,6323.5,0.84518,0.59411,1.06652,0.8847,0.67473,0.74425,0.42806,1.52321,0.76848,1.51744,0.0229569,0.00765229,0.0229569,0.00765229,0.0229569,0.00765229,0.0229569,0.00765229
85,6397.97,0.84774,0.59753,1.06715,0.88845,0.69508,0.76831,0.43391,1.54036,0.72822,1.5076,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
86,6472.19,0.84731,0.59516,1.06677,0.89334,0.67439,0.75694,0.43552,1.50807,0.76925,1.49333,0.0227871,0.00759571,0.0227871,0.00759571,0.0227871,0.00759571,0.0227871,0.00759571
87,6546.73,0.84287,0.59158,1.06196,0.90027,0.71962,0.78882,0.44569,1.50097,0.72577,1.47666,0.0227023,0.00756743,0.0227023,0.00756743,0.0227023,0.00756743,0.0227023,0.00756743
88,6621.2,0.83223,0.59111,1.06165,0.88122,0.70157,0.75359,0.42012,1.59541,0.76684,1.5671,0.0226174,0.00753914,0.0226174,0.00753914,0.0226174,0.00753914,0.0226174,0.00753914
89,6695.65,0.83405,0.59063,1.0665,0.86972,0.73277,0.77569,0.45948,1.43885,0.71385,1.43875,0.0225326,0.00751086,0.0225326,0.00751086,0.0225326,0.00751086,0.0225326,0.00751086
90,6770.49,0.82985,0.58497,1.0583,0.86713,0.71308,0.7649,0.44559,1.50395,0.73025,1.47219,0.0224477,0.00748257,0.0224477,0.00748257,0.0224477,0.00748257,0.0224477,0.00748257
91,6845.2,0.83192,0.5843,1.05964,0.87145,0.7312,0.78497,0.46206,1.41422,0.70647,1.41565,0.0223629,0.00745429,0.0223629,0.00745429,0.0223629,0.00745429,0.0223629,0.00745429
92,6921.07,0.83497,0.57956,1.05837,0.84397,0.76298,0.79274,0.45002,1.49744,0.72348,1.47426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
93,6997.69,0.82814,0.58031,1.05851,0.86263,0.71855,0.77628,0.44819,1.48366,0.74696,1.47859,0.0221931,0.00739771,0.0221931,0.00739771,0.0221931,0.00739771,0.0221931,0.00739771
94,7073.33,0.81662,0.56975,1.05348,0.84215,0.73602,0.78256,0.45239,1.48805,0.73714,1.46028,0.0221083,0.00736943,0.0221083,0.00736943,0.0221083,0.00736943,0.0221083,0.00736943
95,7145.02,0.83228,0.57669,1.05356,0.86066,0.73905,0.77655,0.44878,1.47161,0.72209,1.43813,0.0220234,0.00734114,0.0220234,0.00734114,0.0220234,0.00734114,0.0220234,0.00734114
96,7216.3,0.823,0.57773,1.05721,0.83978,0.70961,0.74978,0.45141,1.48073,0.74037,1.47478,0.0219386,0.00731286,0.0219386,0.00731286,0.0219386,0.00731286,0.0219386,0.00731286
97,7287.67,0.81741,0.57389,1.05265,0.86413,0.71908,0.76788,0.45864,1.45903,0.73194,1.46366,0.0218537,0.00728457,0.0218537,0.00728457,0.0218537,0.00728457,0.0218537,0.00728457
98,7359.26,0.81744,0.57222,1.05213,0.86663,0.73718,0.78283,0.44992,1.47114,0.71604,1.45641,0.0217689,0.00725629,0.0217689,0.00725629,0.0217689,0.00725629,0.0217689,0.00725629
99,7434.37,0.81101,0.5658,1.0476,0.88976,0.73567,0.78264,0.45929,1.43509,0.72144,1.43256,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
